Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
428,428,0,0,017e,03
429,429,0,0,017e,03
430,430,0,0,017e,03
431,431,0,0,017e,03
432,432,0,0,017e,03
433,433,0,0,017e,03
434,434,0,0,017e,03
435,435,0,0,017e,03
436,436,0,0,017e,03
437,437,0,0,017e,03
438,438,0,0,017e,03
439,439,0,0,017e,03
440,440,0,0,017e,03
441,441,0,0,017e,03
442,442,0,0,017e,03
443,443,0,0,017e,03
444,444,0,0,017e,03
445,445,0,0,017e,03
446,446,0,0,017e,03
447,447,0,0,017e,03
448,448,0,0,017e,03
449,449,0,0,017e,03
450,450,0,0,017e,03
451,451,0,0,017e,03
452,452,0,0,017e,03
453,453,0,0,017e,03
454,454,0,0,017e,03
455,455,0,0,017e,03
456,456,0,0,017e,03
457,457,0,0,017e,03
458,458,0,0,017e,03
459,459,0,0,017e,03
460,460,0,0,017e,03
461,461,0,0,017e,03
462,462,0,0,017e,03
463,463,0,0,017e,03
464,464,0,0,017e,03
465,465,0,0,017e,03
466,466,0,0,017e,03
467,467,0,0,017e,03
468,468,0,0,017e,03
469,469,0,0,017e,03
470,470,0,0,017e,03
471,471,0,0,017e,03
472,472,0,0,017e,03
473,473,0,0,017e,03
474,474,0,0,017e,03
475,475,0,0,017e,03
476,476,0,0,017e,03
477,477,0,0,017e,03
478,478,0,0,017e,03
479,479,0,0,017e,03
480,480,0,0,017e,03
481,481,0,0,017e,03
482,482,0,0,017e,03
483,483,0,0,017e,03
484,484,0,0,017e,03
485,485,0,0,017e,03
486,486,0,0,017e,03
487,487,0,0,017e,03
488,488,0,0,017e,03
489,489,0,0,017e,03
490,490,0,0,017e,03
491,491,0,0,017e,03
492,492,0,0,017e,03
493,493,0,0,017e,03
494,494,0,0,017e,03
495,495,0,0,017e,03
496,496,0,0,017e,03
497,497,0,0,017e,03
498,498,0,0,017e,03
499,499,0,0,017e,03
500,500,0,0,017e,03
501,501,0,0,017e,03
502,502,0,0,017e,03
503,503,0,0,017e,03
504,504,0,0,017e,03
505,505,0,0,017e,03
506,506,0,0,017e,03
507,507,0,0,017e,03
508,508,0,0,017e,10
509,509,0,0,017e,10
510,510,0,0,017e,10
511,511,0,0,017e,10
512,512,1,1,017e,10
513,513,0,1,015b,10
514,514,0,1,0154,10
515,515,0,1,0150,10
516,516,0,1,014d,10
517,517,0,1,0145,10
518,518,0,1,0145,10
519,519,0,1,0123,10
520,520,0,1,011c,10
521,521,0,1,010f,10
522,522,0,1,00f9,10
523,523,0,1,00f6,10
524,524,0,1,00ea,10
525,525,0,1,00d8,10
526,526,0,1,00e2,10
527,527,0,1,00bd,10
528,528,0,1,00b8,10
529,529,0,1,00c0,10
530,530,0,1,0099,10
531,531,0,1,00b0,10
532,532,0,1,008e,10
533,533,0,1,0086,10
534,534,0,1,0073,10
535,535,0,1,006d,10
536,536,0,1,0064,10
537,537,0,1,0055,10
538,538,0,1,0053,10
539,539,0,1,0047,10
540,540,0,1,003b,10
541,541,0,1,001f,10
542,542,0,1,ffff,10
543,543,0,1,0009,10
544,544,0,1,fffb,10
545,545,0,1,ffeb,10
546,546,0,1,ffef,10
547,547,0,1,ffb7,10
548,548,0,1,ffb6,10
549,549,0,1,ffb0,10
550,550,0,1,ff9b,10
551,551,0,1,ffb7,10
552,552,0,1,ff8d,10
553,553,0,1,ff7c,10
554,554,0,1,ff80,10
555,555,0,1,ff59,10
556,556,0,1,ff56,10
557,557,0,1,ff42,10
558,558,0,1,ff40,10
559,559,0,1,ff30,10
560,560,0,1,ff28,10
561,561,0,1,ff1b,10
562,562,0,1,ff11,10
563,563,0,1,ff0f,10
564,564,0,1,fef7,10
565,565,0,1,fefe,10
566,566,0,1,fedf,10
567,567,0,1,fef5,10
568,568,0,1,fee0,10
569,569,0,1,feeb,10
570,570,0,1,fede,10
571,571,0,1,feb3,10
572,572,0,1,feca,10
573,573,0,1,fecb,10
574,574,0,1,feae,10
575,575,0,1,fea6,10
576,576,0,1,fea5,10
577,577,0,1,fea7,10
578,578,0,1,fea7,10
579,579,0,1,fe8b,10
580,580,0,1,fe99,10
581,581,0,1,fe99,10
582,582,0,1,fe8d,10
583,583,0,1,fe87,10
584,584,0,1,fe7f,10
585,585,0,1,fe80,10
586,586,0,1,fe72,10
587,587,0,1,fe75,10
588,588,0,1,fe75,10
589,589,0,1,fe6e,10
590,590,0,1,fe6d,10
591,591,0,1,fe67,10
592,592,0,1,fe77,10
593,593,0,1,fe60,10
594,594,0,1,fe6b,10
595,595,0,1,fe61,10
596,596,0,1,fe6c,10
597,597,0,1,fe63,10
598,598,0,1,fe66,10
599,599,0,1,fe62,10
600,600,0,1,fe63,10
601,601,0,1,fe64,10
602,602,0,1,fe54,10
603,603,0,1,fe64,10
604,604,0,1,fe59,10
605,605,0,1,fe64,10
